booking_id,date,client_id,supplier_id,booking_value,margin,payment_delay_days,is_late_payment
BK_00001,2025-01-01,CLI_014,SUP_007,93179.38,0.1928,16,1
BK_00002,2025-01-01,CLI_009,SUP_018,132832.23,0.1689,5,0
BK_00003,2025-01-01,CLI_003,SUP_004,107436.39,0.1291,9,0
BK_00004,2025-01-01,CLI_024,SUP_015,86386.35,0.193,0,0
BK_00005,2025-01-01,CLI_037,SUP_002,143952.12,0.1612,5,0
BK_00006,2025-01-01,CLI_032,SUP_011,217056.24,0.125,7,0
BK_00007,2025-01-02,CLI_033,SUP_004,94115.18,0.1699,17,1
BK_00008,2025-01-02,CLI_037,SUP_001,87674.19,0.0909,10,0
BK_00009,2025-01-02,CLI_014,SUP_013,73144.31,0.1767,13,0
BK_00010,2025-01-03,CLI_011,SUP_018,98549.68,0.1963,17,1
BK_00011,2025-01-03,CLI_027,SUP_007,191784.04,0.0968,8,0
BK_00012,2025-01-03,CLI_013,SUP_015,85580.49,0.1384,9,0
BK_00013,2025-01-03,CLI_017,SUP_013,122399.48,0.0806,0,0
BK_00014,2025-01-03,CLI_042,SUP_010,142456.16,0.1248,6,0
BK_00015,2025-01-04,CLI_006,SUP_011,221927.14,0.1365,5,0
BK_00016,2025-01-04,CLI_003,SUP_009,14365.64,0.1115,4,0
BK_00017,2025-01-05,CLI_013,SUP_009,76389.99,0.1834,4,0
BK_00018,2025-01-05,CLI_043,SUP_010,157725.93,0.1062,28,1
BK_00019,2025-01-06,CLI_019,SUP_009,129168.97,0.1394,27,1
BK_00020,2025-01-06,CLI_043,SUP_013,29143.63,0.1499,21,1
BK_00021,2025-01-06,CLI_049,SUP_020,22763.03,0.0984,15,0
BK_00022,2025-01-06,CLI_012,SUP_012,125001.7,0.0849,0,0
BK_00023,2025-01-06,CLI_001,SUP_008,128474.34,0.1555,22,1
BK_00024,2025-01-07,CLI_028,SUP_009,70324.25,0.1098,23,1
BK_00025,2025-01-07,CLI_024,SUP_017,142245.99,0.162,14,0
BK_00026,2025-01-07,CLI_015,SUP_006,141724.2,0.1602,19,1
BK_00027,2025-01-08,CLI_047,SUP_016,124686.44,0.1861,15,0
BK_00028,2025-01-08,CLI_031,SUP_002,55272.02,0.1072,11,0
BK_00029,2025-01-08,CLI_050,SUP_003,22593.68,0.1164,12,0
BK_00030,2025-01-08,CLI_042,SUP_007,21195.16,0.1732,8,0
BK_00031,2025-01-08,CLI_021,SUP_009,91500.75,0.1617,10,0
BK_00032,2025-01-09,CLI_023,SUP_009,153663.57,0.1717,0,0
BK_00033,2025-01-09,CLI_033,SUP_018,191819.7,0.1674,15,0
BK_00034,2025-01-09,CLI_030,SUP_008,157459.55,0.1708,12,0
BK_00035,2025-01-10,CLI_011,SUP_008,191358.48,0.1261,24,1
BK_00036,2025-01-10,CLI_046,SUP_008,27918.35,0.1859,15,0
BK_00037,2025-01-10,CLI_041,SUP_009,119423.75,0.1208,10,0
BK_00038,2025-01-11,CLI_001,SUP_010,113562.25,0.1184,23,1
BK_00039,2025-01-12,CLI_049,SUP_007,20173.92,0.0892,12,0
BK_00040,2025-01-12,CLI_028,SUP_010,16457.3,0.1481,18,1
BK_00041,2025-01-12,CLI_023,SUP_009,71481.38,0.1288,3,0
BK_00042,2025-01-13,CLI_042,SUP_007,21225.2,0.1226,12,0
BK_00043,2025-01-13,CLI_024,SUP_019,62437.4,0.1,0,0
BK_00044,2025-01-13,CLI_009,SUP_011,52326.65,0.1111,13,0
BK_00045,2025-01-13,CLI_003,SUP_002,90819.06,0.1839,10,0
BK_00046,2025-01-14,CLI_027,SUP_012,30186.46,0.1946,12,0
BK_00047,2025-01-14,CLI_029,SUP_003,110105.42,0.1512,15,0
BK_00048,2025-01-14,CLI_020,SUP_001,59518.75,0.1589,24,1
BK_00049,2025-01-14,CLI_019,SUP_005,20693.89,0.1259,9,0
BK_00050,2025-01-15,CLI_034,SUP_002,106599.96,0.1628,22,1
BK_00051,2025-01-15,CLI_035,SUP_010,53399.99,0.1078,7,0
BK_00052,2025-01-15,CLI_034,SUP_011,105136.99,0.107,23,1
BK_00053,2025-01-15,CLI_006,SUP_004,15309.5,0.1675,12,0
BK_00054,2025-01-16,CLI_018,SUP_008,32824.95,0.1743,13,0
BK_00055,2025-01-16,CLI_046,SUP_003,44598.42,0.1227,6,0
BK_00056,2025-01-16,CLI_027,SUP_014,93384.56,0.1476,8,0
BK_00057,2025-01-16,CLI_023,SUP_007,186857.61,0.086,0,0
BK_00058,2025-01-16,CLI_048,SUP_018,102990.71,0.1858,5,0
BK_00059,2025-01-17,CLI_026,SUP_006,44122.13,0.1121,28,1
BK_00060,2025-01-17,CLI_049,SUP_004,100688.39,0.0819,3,0
BK_00061,2025-01-17,CLI_007,SUP_015,174236.13,0.1168,16,1
BK_00062,2025-01-18,CLI_011,SUP_014,183283.08,0.1609,11,0
BK_00063,2025-01-18,CLI_036,SUP_011,106723.76,0.1637,12,0
BK_00064,2025-01-18,CLI_036,SUP_002,146548.04,0.178,22,1
BK_00065,2025-01-18,CLI_016,SUP_004,102907.53,0.135,22,1
BK_00066,2025-01-18,CLI_010,SUP_010,22182.41,0.1468,8,0
BK_00067,2025-01-18,CLI_040,SUP_019,149495.76,0.1755,0,0
BK_00068,2025-01-18,CLI_025,SUP_008,21051.52,0.1331,21,1
BK_00069,2025-01-19,CLI_013,SUP_007,91398.39,0.0927,6,0
BK_00070,2025-01-19,CLI_019,SUP_004,140557.68,0.0942,20,1
BK_00071,2025-01-19,CLI_035,SUP_013,134065.45,0.1921,1,0
BK_00072,2025-01-19,CLI_019,SUP_006,53010.3,0.1456,18,1
BK_00073,2025-01-19,CLI_020,SUP_003,146555.97,0.1145,15,0
BK_00074,2025-01-20,CLI_021,SUP_019,96714.6,0.1293,2,0
BK_00075,2025-01-20,CLI_046,SUP_003,25881.71,0.1996,9,0
BK_00076,2025-01-20,CLI_003,SUP_002,127216.82,0.0953,4,0
BK_00077,2025-01-20,CLI_029,SUP_007,115486.1,0.1847,23,1
BK_00078,2025-01-20,CLI_030,SUP_016,98146.82,0.1708,6,0
BK_00079,2025-01-20,CLI_034,SUP_008,85639.05,0.0895,28,1
BK_00080,2025-01-20,CLI_049,SUP_008,71960.83,0.0858,8,0
BK_00081,2025-01-21,CLI_042,SUP_011,121507.81,0.1708,10,0
BK_00082,2025-01-21,CLI_029,SUP_015,68801.54,0.1494,17,1
BK_00083,2025-01-21,CLI_048,SUP_003,50345.83,0.0808,5,0
BK_00084,2025-01-21,CLI_013,SUP_002,102759.51,0.1769,6,0
BK_00085,2025-01-21,CLI_015,SUP_019,180473.73,0.1884,24,1
BK_00086,2025-01-21,CLI_032,SUP_020,115212.02,0.1752,21,1
BK_00087,2025-01-21,CLI_010,SUP_007,74124.01,0.1108,0,0
BK_00088,2025-01-21,CLI_038,SUP_004,116478.74,0.1984,17,1
BK_00089,2025-01-21,CLI_013,SUP_014,11852.03,0.1414,5,0
BK_00090,2025-01-22,CLI_047,SUP_003,145484.0,0.1589,20,1
BK_00091,2025-01-22,CLI_048,SUP_008,17631.67,0.1177,7,0
BK_00092,2025-01-22,CLI_009,SUP_018,38837.21,0.0801,14,0
BK_00093,2025-01-22,CLI_030,SUP_014,70667.07,0.1635,13,0
BK_00094,2025-01-23,CLI_029,SUP_005,35143.97,0.1138,15,0
BK_00095,2025-01-23,CLI_009,SUP_017,25861.94,0.1006,8,0
BK_00096,2025-01-23,CLI_021,SUP_003,52253.31,0.0845,9,0
BK_00097,2025-01-24,CLI_025,SUP_009,31244.01,0.1517,14,0
BK_00098,2025-01-24,CLI_008,SUP_001,59263.88,0.1647,29,1
BK_00099,2025-01-24,CLI_026,SUP_017,137343.35,0.0807,23,1
BK_00100,2025-01-24,CLI_048,SUP_008,110521.98,0.1246,17,1
BK_00101,2025-01-24,CLI_003,SUP_001,143463.0,0.0887,8,0
BK_00102,2025-01-25,CLI_001,SUP_004,91103.88,0.1867,12,0
BK_00103,2025-01-25,CLI_021,SUP_014,100937.84,0.1842,10,0
BK_00104,2025-01-25,CLI_010,SUP_001,53631.41,0.143,5,0
BK_00105,2025-01-26,CLI_029,SUP_012,106518.4,0.1141,9,0
BK_00106,2025-01-26,CLI_007,SUP_012,89455.12,0.1478,13,0
BK_00107,2025-01-26,CLI_008,SUP_008,147193.76,0.1983,15,0
BK_00108,2025-01-26,CLI_044,SUP_003,80402.57,0.1754,11,0
BK_00109,2025-01-26,CLI_020,SUP_012,206145.5,0.0985,18,1
BK_00110,2025-01-26,CLI_004,SUP_014,73158.21,0.1662,10,0
BK_00111,2025-01-26,CLI_004,SUP_013,122075.05,0.1815,7,0
BK_00112,2025-01-27,CLI_032,SUP_017,86751.66,0.1944,24,1
BK_00113,2025-01-27,CLI_050,SUP_019,109769.89,0.094,21,1
BK_00114,2025-01-27,CLI_050,SUP_013,177931.66,0.1206,15,0
BK_00115,2025-01-27,CLI_016,SUP_001,20768.82,0.1284,14,0
BK_00116,2025-01-28,CLI_019,SUP_004,46198.02,0.1205,17,1
BK_00117,2025-01-28,CLI_002,SUP_012,50203.07,0.1193,12,0
BK_00118,2025-01-28,CLI_046,SUP_012,98366.33,0.0996,3,0
BK_00119,2025-01-28,CLI_044,SUP_017,67978.41,0.1637,9,0
BK_00120,2025-01-28,CLI_004,SUP_006,38491.56,0.1848,6,0
BK_00121,2025-01-28,CLI_048,SUP_013,79883.78,0.1521,15,0
BK_00122,2025-01-29,CLI_042,SUP_010,81187.06,0.1079,13,0
