client_id,client_type,credit_limit,historical_delay_days
CLI_001,SME,150000,17.9
CLI_002,Retail,50000,13.4
CLI_003,SME,150000,11.1
CLI_004,SME,150000,9.6
CLI_005,Corporate,500000,0.2
CLI_006,Corporate,500000,6.2
CLI_007,Corporate,500000,8.3
CLI_008,Retail,50000,20.5
CLI_009,SME,150000,14.7
CLI_010,SME,150000,0.0
CLI_011,Corporate,500000,14.6
CLI_012,Retail,50000,8.9
CLI_013,Retail,50000,6.6
CLI_014,Corporate,500000,16.9
CLI_015,Corporate,500000,20.2
CLI_016,Corporate,500000,19.5
CLI_017,SME,150000,5.3
CLI_018,SME,150000,9.5
CLI_019,SME,150000,14.7
CLI_020,Corporate,500000,19.8
CLI_021,SME,150000,8.2
CLI_022,Corporate,500000,10.5
CLI_023,Corporate,500000,3.1
CLI_024,SME,150000,2.4
CLI_025,SME,150000,18.5
CLI_026,SME,150000,22.8
CLI_027,Corporate,500000,11.4
CLI_028,SME,150000,20.0
CLI_029,SME,150000,14.9
CLI_030,Corporate,500000,6.8
CLI_031,SME,150000,14.9
CLI_032,Corporate,500000,24.3
CLI_033,Corporate,500000,11.7
CLI_034,Retail,50000,24.5
CLI_035,Retail,50000,0.0
CLI_036,Retail,50000,18.6
CLI_037,SME,150000,12.7
CLI_038,Corporate,500000,9.6
CLI_039,SME,150000,12.7
CLI_040,SME,150000,0.0
CLI_041,Corporate,500000,10.2
CLI_042,SME,150000,14.9
CLI_043,Corporate,500000,23.8
CLI_044,Retail,50000,7.9
CLI_045,Corporate,500000,5.5
CLI_046,SME,150000,8.0
CLI_047,SME,150000,19.3
CLI_048,SME,150000,14.6
CLI_049,SME,150000,7.8
CLI_050,Corporate,500000,16.1
