date,category,amount
2025-01-01,Operations,9285.68
2025-01-02,Operations,8140.24
2025-01-03,Operations,9061.17
2025-01-04,Operations,13926.17
2025-01-05,Operations,19249.42
2025-01-06,Operations,12572.67
2025-01-07,Operations,14292.36
2025-01-08,Operations,9852.51
2025-01-09,Operations,17629.56
2025-01-10,Operations,16376.38
2025-01-11,Operations,19826.24
2025-01-12,Operations,18610.7
2025-01-13,Operations,17412.78
2025-01-14,Operations,11532.61
2025-01-15,Operations,17726.38
2025-01-16,Operations,17211.89
2025-01-17,Operations,10793.18
2025-01-18,Operations,8915.73
2025-01-19,Operations,14941.94
2025-01-20,Operations,17307.31
2025-01-21,Operations,9262.76
2025-01-22,Operations,6520.7
2025-01-23,Operations,12580.48
2025-01-24,Operations,14303.52
2025-01-25,Operations,5990.83
2025-01-26,Operations,8101.97
2025-01-27,Operations,15871.8
2025-01-28,Operations,8455.93
2025-01-29,Operations,18443.54
2025-01-30,Operations,8430.06
2025-01-31,Operations,10807.75
2025-02-01,Operations,6552.69
2025-02-02,Operations,16454.05
2025-02-03,Operations,7013.04
2025-02-04,Operations,9158.88
2025-02-05,Operations,11483.2
2025-02-06,Operations,10393.15
2025-02-07,Operations,9372.26
2025-02-08,Operations,18589.6
2025-02-09,Operations,8301.65
2025-02-10,Operations,7876.6
2025-02-11,Operations,6235.24
2025-02-12,Operations,11489.02
2025-02-13,Operations,15078.38
2025-02-14,Operations,11791.52
2025-02-15,Operations,14015.39
2025-02-16,Operations,6560.19
2025-02-17,Operations,19725.27
2025-02-18,Operations,19369.73
2025-02-19,Operations,5213.42
2025-02-20,Operations,11317.87
2025-02-21,Operations,19266.68
2025-02-22,Operations,17969.89
2025-02-23,Operations,15565.79
2025-02-24,Operations,12106.75
2025-02-25,Operations,14250.86
2025-02-26,Operations,16640.33
2025-02-27,Operations,8209.43
2025-02-28,Operations,9454.92
2025-03-01,Operations,13197.71
2025-03-02,Operations,5934.77
2025-03-03,Operations,7114.69
2025-03-04,Operations,12632.61
2025-03-05,Operations,12660.04
2025-03-06,Operations,18095.09
2025-03-07,Operations,17897.77
2025-03-08,Operations,12980.2
