transaction_id,date,type,category,amount,client_id
TX_00001,2025-01-01,Inflow,Booking Revenue,111145.86,CLI_014
TX_00002,2025-01-01,Inflow,Booking Revenue,155266.56,CLI_009
TX_00003,2025-01-01,Inflow,Booking Revenue,121303.67,CLI_003
TX_00004,2025-01-01,Inflow,Booking Revenue,103056.82,CLI_024
TX_00005,2025-01-01,Inflow,Booking Revenue,167158.99,CLI_037
TX_00006,2025-01-01,Inflow,Booking Revenue,244184.89,CLI_032
TX_00007,2025-01-01,Outflow,Operations,9285.68,
TX_00008,2025-01-02,Inflow,Booking Revenue,110110.0,CLI_033
TX_00009,2025-01-02,Inflow,Booking Revenue,95645.54,CLI_037
TX_00010,2025-01-02,Inflow,Booking Revenue,86072.13,CLI_014
TX_00011,2025-01-02,Outflow,Operations,8140.24,
TX_00012,2025-01-03,Inflow,Booking Revenue,117898.57,CLI_011
TX_00013,2025-01-03,Inflow,Booking Revenue,210343.5,CLI_027
TX_00014,2025-01-03,Inflow,Booking Revenue,97421.65,CLI_013
TX_00015,2025-01-03,Inflow,Booking Revenue,132259.48,CLI_017
TX_00016,2025-01-03,Inflow,Booking Revenue,160234.28,CLI_042
TX_00017,2025-01-03,Outflow,Operations,9061.17,
TX_00018,2025-01-04,Inflow,Booking Revenue,252226.37,CLI_006
TX_00019,2025-01-04,Inflow,Booking Revenue,15967.0,CLI_003
TX_00020,2025-01-04,Outflow,Operations,13926.17,
TX_00021,2025-01-05,Inflow,Booking Revenue,90403.36,CLI_013
TX_00022,2025-01-05,Inflow,Booking Revenue,174474.92,CLI_043
TX_00023,2025-01-05,Outflow,Operations,19249.42,
TX_00024,2025-01-06,Inflow,Booking Revenue,147177.39,CLI_019
TX_00025,2025-01-06,Inflow,Booking Revenue,33511.1,CLI_043
TX_00026,2025-01-06,Inflow,Booking Revenue,25003.8,CLI_049
TX_00027,2025-01-06,Inflow,Booking Revenue,135619.6,CLI_012
TX_00028,2025-01-06,Inflow,Booking Revenue,148445.91,CLI_001
TX_00029,2025-01-06,Outflow,Operations,12572.67,
TX_00030,2025-01-07,Inflow,Booking Revenue,78049.07,CLI_028
TX_00031,2025-01-07,Inflow,Booking Revenue,165288.39,CLI_024
TX_00032,2025-01-07,Inflow,Booking Revenue,164426.37,CLI_015
TX_00033,2025-01-07,Outflow,Operations,14292.36,
TX_00034,2025-01-08,Inflow,Booking Revenue,147891.18,CLI_047
TX_00035,2025-01-08,Inflow,Booking Revenue,61197.11,CLI_031
TX_00036,2025-01-08,Inflow,Booking Revenue,25223.03,CLI_050
TX_00037,2025-01-08,Inflow,Booking Revenue,24866.3,CLI_042
TX_00038,2025-01-08,Inflow,Booking Revenue,106297.98,CLI_021
TX_00039,2025-01-08,Outflow,Operations,9852.51,
TX_00040,2025-01-09,Inflow,Booking Revenue,180051.4,CLI_023
TX_00041,2025-01-09,Inflow,Booking Revenue,223933.94,CLI_033
TX_00042,2025-01-09,Inflow,Booking Revenue,184346.05,CLI_030
TX_00043,2025-01-09,Outflow,Operations,17629.56,
TX_00044,2025-01-10,Inflow,Booking Revenue,215481.12,CLI_011
TX_00045,2025-01-10,Inflow,Booking Revenue,33107.15,CLI_046
TX_00046,2025-01-10,Inflow,Booking Revenue,133846.94,CLI_041
TX_00047,2025-01-10,Outflow,Operations,16376.38,
TX_00048,2025-01-11,Inflow,Booking Revenue,127003.48,CLI_001
TX_00049,2025-01-11,Outflow,Operations,19826.24,
