previous_consumption,people,temperature,day_of_week,is_holiday,food_demand
122,1,17,5,1,109.54091056087104
455,4,16,3,1,310.4644703280964
368,5,16,2,1,358.0458190814177
290,12,27,5,1,403.0629021253606
126,11,23,1,1,281.9066490454497
91,3,30,2,1,157.63678787919838
208,13,19,3,0,340.3572478721352
40,9,37,5,1,251.10295792791817
122,1,35,6,0,107.61414842286064
141,6,21,0,1,249.79081338926898
486,6,27,5,0,393.6996711099585
234,10,34,6,1,401.79821998337763
350,5,38,6,0,348.8158289510908
478,12,27,5,0,411.0370569095844
107,5,21,4,1,228.83947947675125
392,10,24,5,0,418.14982498549074
119,14,29,3,1,342.77254495288
379,13,35,6,1,475.84848485753844
171,5,20,0,0,208.73450214482483
150,6,19,3,1,212.71569982406345
169,8,37,1,0,273.6454226357434
328,2,16,2,0,246.00074891651826
277,6,35,5,1,338.8545581738016
363,1,29,4,1,271.1643047207652
433,4,30,0,1,386.9552111328245
313,14,33,4,1,468.5579052508586
405,10,23,4,1,433.87410905893745
211,3,36,4,0,212.2013527403759
463,9,33,5,0,432.36922912662277
296,3,21,0,1,249.51817036760454
180,6,18,0,1,207.188968305927
479,1,17,6,1,312.9041566860203
333,12,38,4,0,420.056955078104
41,6,34,6,0,181.2457755897533
272,4,25,6,0,270.2430919673699
255,8,15,2,1,294.4543031054658
364,13,20,5,1,439.6449599297056
68,11,25,5,0,264.3235519524244
494,9,15,3,1,426.9495577083631
78,4,35,6,1,202.07499057616957
189,10,21,5,0,278.33435972871285
495,12,20,4,0,462.6275123457715
207,10,28,1,1,354.66289778421356
483,6,16,4,0,356.0309388803912
290,1,18,0,1,241.8148801447967
209,4,25,5,0,175.45133783589682
465,7,29,5,0,366.90770652161075
194,12,32,3,1,324.635998185023
465,1,15,6,1,284.18458765666065
70,8,17,1,0,226.13687325698345
383,12,17,5,1,435.14928182633093
74,10,21,3,0,214.57394499085086
263,12,15,3,1,387.15613649984846
339,11,39,1,0,430.98022114514345
150,6,25,4,0,190.58304371874948
326,5,20,4,0,327.96400235948227
154,10,34,4,1,330.52661686002114
40,11,17,2,0,227.04703976908684
348,14,33,6,0,459.9446630271572
186,9,16,6,0,269.9027574009195
